date,I_est
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,5.0
2020-01-27,5.0
2020-01-28,5.0
2020-01-29,6.0
2020-01-30,6.0
2020-01-31,8.0
2020-02-01,8.0
2020-02-02,8.0
2020-02-03,11.0
2020-02-04,11.0
2020-02-05,10.0
2020-02-06,11.0
2020-02-07,10.0
2020-02-08,10.0
2020-02-09,7.0
2020-02-10,7.0
2020-02-11,8.0
2020-02-12,7.0
2020-02-13,8.0
2020-02-14,6.0
2020-02-15,6.0
2020-02-16,6.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,2.0
2020-02-21,4.0
2020-02-22,4.0
2020-02-23,4.0
2020-02-24,4.0
2020-02-25,3.0
2020-02-26,3.0
2020-02-27,3.0
2020-02-28,3.0
2020-02-29,11.0
2020-03-01,18.0
2020-03-02,41.0
2020-03-03,60.0
2020-03-04,93.0
2020-03-05,170.0
2020-03-06,221.0
2020-03-07,387.0
2020-03-08,503.0
2020-03-09,578.0
2020-03-10,766.0
2020-03-11,1131.0
2020-03-12,1569.0
2020-03-13,2202.0
2020-03-14,2953.0
2020-03-15,3180.0
2020-03-16,4624.0
2020-03-17,6438.0
2020-03-18,9062.0
2020-03-19,13479.0
2020-03-20,19793.0
2020-03-21,25622.0
2020-03-22,34425.0
2020-03-23,45502.0
2020-03-24,55932.0
2020-03-25,67694.0
2020-03-26,85076.0
2020-03-27,103034.0
2020-03-28,124439.0
2020-03-29,140332.0
2020-03-30,161019.0
2020-03-31,185567.0
2020-04-01,218734.0
2020-04-02,246520.0
2020-04-03,272600.0
2020-04-04,298315.0
2020-04-05,318173.0
2020-04-06,339014.0
2020-04-07,358542.0
2020-04-08,377659.0
2020-04-09,395864.0
2020-04-10,411454.0
2020-04-11,418276.0
2020-04-12,428007.0
2020-04-13,433096.0
2020-04-14,435227.0
2020-04-15,425766.0
2020-04-16,423168.0
2020-04-17,423878.0
2020-04-18,419517.0
2020-04-19,415771.0
2020-04-20,414421.0
2020-04-21,410222.0
2020-04-22,408945.0
2020-04-23,404997.0
2020-04-24,402307.0
2020-04-25,403947.0
2020-04-26,403986.0
2020-04-27,401436.0
2020-04-28,397528.0
2020-04-29,397974.0
2020-04-30,397799.0
2020-05-01,399464.0
2020-05-02,398762.0
2020-05-03,397301.0
2020-05-04,390709.0
2020-05-05,388843.0
2020-05-06,383249.0
2020-05-07,379381.0
2020-05-08,375097.0
2020-05-09,368718.0
2020-05-10,361524.0
2020-05-11,356053.0
2020-05-12,354827.0
2020-05-13,348019.0
2020-05-14,344389.0
2020-05-15,333966.0
2020-05-16,331187.0
2020-05-17,326260.0
2020-05-18,324593.0
2020-05-19,321270.0
2020-05-20,319736.0
2020-05-21,316638.0
2020-05-22,313353.0
2020-05-23,309034.0
2020-05-24,310452.0
2020-05-25,310416.0
2020-05-26,305734.0
2020-05-27,304538.0
2020-05-28,299790.0
2020-05-29,300128.0
2020-05-30,298977.0
2020-05-31,299098.0
2020-06-01,294551.0
2020-06-02,293749.0
2020-06-03,289958.0
2020-06-04,292557.0
2020-06-05,294816.0
2020-06-06,295041.0
2020-06-07,292729.0
2020-06-08,290455.0
2020-06-09,292083.0
2020-06-10,295024.0
2020-06-11,296198.0
2020-06-12,297016.0
2020-06-13,298435.0
2020-06-14,298624.0
2020-06-15,301882.0
2020-06-16,306554.0
2020-06-17,314585.0
2020-06-18,315112.0
2020-06-19,319927.0
2020-06-20,331640.0
2020-06-21,339690.0
2020-06-22,352767.0
2020-06-23,371272.0
2020-06-24,385805.0
2020-06-25,402859.0
2020-06-26,426390.0
2020-06-27,443087.0
2020-06-28,467052.0
2020-06-29,487475.0
2020-06-30,512903.0
2020-07-01,535154.0
2020-07-02,562000.0
2020-07-03,582662.0
2020-07-04,596820.0
2020-07-05,624911.0
2020-07-06,638554.0
2020-07-07,657138.0
2020-07-08,681363.0
2020-07-09,701838.0
2020-07-10,721274.0
2020-07-11,740882.0
2020-07-12,758184.0
2020-07-13,776291.0
2020-07-14,791992.0
2020-07-15,808961.0
2020-07-16,824651.0
2020-07-17,839415.0
2020-07-18,857716.0
2020-07-19,862759.0
2020-07-20,879983.0
2020-07-21,890865.0
2020-07-22,897811.0
2020-07-23,905746.0
2020-07-24,912173.0
2020-07-25,915487.0
2020-07-26,910898.0
2020-07-27,911270.0
2020-07-28,910077.0
2020-07-29,907830.0
2020-07-30,906260.0
2020-07-31,904213.0
2020-08-01,897312.0
2020-08-02,885208.0
2020-08-03,866248.0
2020-08-04,859574.0
2020-08-05,846261.0
2020-08-06,838530.0
2020-08-07,824022.0
2020-08-08,824034.0
2020-08-09,822566.0
2020-08-10,814206.0
2020-08-11,806518.0
2020-08-12,797688.0
2020-08-13,779930.0
2020-08-14,785627.0
2020-08-15,780528.0
2020-08-16,768216.0
2020-08-17,764317.0
2020-08-18,747671.0
2020-08-19,739449.0
2020-08-20,724548.0
2020-08-21,712007.0
2020-08-22,693511.0
2020-08-23,671251.0
2020-08-24,653705.0
2020-08-25,639391.0
2020-08-26,626361.0
2020-08-27,625352.0
2020-08-28,601600.0
2020-08-29,592346.0
2020-08-30,591937.0
2020-08-31,587466.0
2020-09-01,584460.0
2020-09-02,578663.0
2020-09-03,578739.0
2020-09-04,579498.0
2020-09-05,577465.0
2020-09-06,574640.0
2020-09-07,565251.0
2020-09-08,549792.0
2020-09-09,541451.0
2020-09-10,530636.0
2020-09-11,529141.0
2020-09-12,531685.0
2020-09-13,537825.0
2020-09-14,537200.0
2020-09-15,532670.0
2020-09-16,530901.0
2020-09-17,531131.0
2020-09-18,532699.0
2020-09-19,535116.0
2020-09-20,547643.0
2020-09-21,555201.0
2020-09-22,566406.0
2020-09-23,573785.0
2020-09-24,583160.0
2020-09-25,585961.0
2020-09-26,584236.0
2020-09-27,577635.0
2020-09-28,581305.0
2020-09-29,586156.0
2020-09-30,586723.0
2020-10-01,587644.0
2020-10-02,590964.0
2020-10-03,594689.0
2020-10-04,586454.0
2020-10-05,592141.0
2020-10-06,598854.0
2020-10-07,607091.0
2020-10-08,616307.0
2020-10-09,624012.0
2020-10-10,635376.0
2020-10-11,648549.0
2020-10-12,654933.0
2020-10-13,663239.0
2020-10-14,683494.0
2020-10-15,700994.0
2020-10-16,717757.0
2020-10-17,723227.0
2020-10-18,742151.0
2020-10-19,772941.0
2020-10-20,790491.0
2020-10-21,802449.0
2020-10-22,824452.0
2020-10-23,851253.0
2020-10-24,874098.0
2020-10-25,887595.0
2020-10-26,909110.0
2020-10-27,937491.0
2020-10-28,966708.0
2020-10-29,995525.0
2020-10-30,1025714.0
2020-10-31,1057636.0
2020-11-01,1083480.0
2020-11-02,1098681.0
2020-11-03,1163012.0
2020-11-04,1203656.0
2020-11-05,1253472.0
2020-11-06,1300467.0
2020-11-07,1349590.0
2020-11-08,1408581.0
2020-11-09,1463636.0
2020-11-10,1523760.0
2020-11-11,1584931.0
2020-11-12,1651895.0
2020-11-13,1730157.0
2020-11-14,1806342.0
2020-11-15,1866718.0
2020-11-16,1938517.0
2020-11-17,1978967.0
2020-11-18,2050314.0
2020-11-19,2112249.0
2020-11-20,2184207.0
2020-11-21,2234589.0
2020-11-22,2260456.0
2020-11-23,2325217.0
2020-11-24,2361084.0
2020-11-25,2392776.0
2020-11-26,2346044.0
2020-11-27,2382485.0
2020-11-28,2387017.0
2020-11-29,2388176.0
2020-11-30,2390970.0
2020-12-01,2422449.0
2020-12-02,2446049.0
2020-12-03,2473505.0
2020-12-04,2507554.0
2020-12-05,2549873.0
2020-12-06,2582769.0
2020-12-07,2594724.0
2020-12-08,2647255.0
2020-12-09,2681739.0
2020-12-10,2804605.0
2020-12-11,2826305.0
2020-12-12,2881572.0
2020-12-13,2932541.0
2020-12-14,2984371.0
2020-12-15,3012761.0
2020-12-16,3049888.0
2020-12-17,3069639.0
2020-12-18,3080945.0
2020-12-19,3066047.0
2020-12-20,3074085.0
2020-12-21,3075269.0
2020-12-22,3053560.0
2020-12-23,3058612.0
2020-12-24,3034430.0
2020-12-25,2923052.0
2020-12-26,2918264.0
2020-12-27,2863805.0
2020-12-28,2828077.0
2020-12-29,2807697.0
2020-12-30,2792302.0
2020-12-31,2867054.0
2021-01-01,2798134.0
2021-01-02,2865733.0
2021-01-03,2882777.0
2021-01-04,2872085.0
2021-01-05,2898437.0
2021-01-06,2937365.0
2021-01-07,3010833.0
2021-01-08,3188169.0
2021-01-09,3233705.0
2021-01-10,3307468.0
2021-01-11,3337337.0
2021-01-12,3352912.0
2021-01-13,3362839.0
2021-01-14,3283837.0
2021-01-15,3350653.0
2021-01-16,3295011.0
2021-01-17,3267963.0
2021-01-18,3222514.0
2021-01-19,3147386.0
2021-01-20,3075339.0
2021-01-21,2982303.0
2021-01-22,2870799.0
2021-01-23,2784634.0
2021-01-24,2714483.0
2021-01-25,2639954.0
2021-01-26,2568832.0
2021-01-27,2495322.0
2021-01-28,2427113.0
2021-01-29,2346076.0
2021-01-30,2279503.0
2021-01-31,2215909.0
2021-02-01,2200437.0
2021-02-02,2160813.0
2021-02-03,2097520.0
2021-02-04,2030146.0
2021-02-05,1969197.0
2021-02-06,1908138.0
2021-02-07,1857512.0
2021-02-08,1810701.0
2021-02-09,1755165.0
2021-02-10,1695695.0
2021-02-11,1635132.0
2021-02-12,1571392.0
2021-02-13,1511331.0
2021-02-14,1466950.0
2021-02-15,1397242.0
2021-02-16,1339690.0
2021-02-17,1284320.0
2021-02-18,1231917.0
2021-02-19,1176384.0
2021-02-20,1133685.0
2021-02-21,1099769.0
2021-02-22,1072663.0
2021-02-23,1050735.0
2021-02-24,1030021.0
2021-02-25,1000929.0
2021-02-26,976293.0
2021-02-27,956775.0
2021-02-28,940241.0
2021-03-01,934259.0
2021-03-02,933097.0
2021-03-03,931160.0
2021-03-04,927351.0
2021-03-05,919659.0
2021-03-06,906841.0
2021-03-07,893132.0
2021-03-08,881824.0
2021-03-09,863825.0
2021-03-10,846564.0
2021-03-11,831259.0
2021-03-12,818610.0
2021-03-13,804038.0
2021-03-14,790948.0
2021-03-15,792363.0
2021-03-16,788766.0
2021-03-17,781577.0
2021-03-18,775339.0
2021-03-19,769067.0
2021-03-20,766571.0
2021-03-21,760439.0
2021-03-22,764128.0
2021-03-23,761023.0
2021-03-24,791128.0
2021-03-25,796762.0
2021-03-26,810632.0
2021-03-27,818166.0
2021-03-28,825972.0
2021-03-29,841078.0
2021-03-30,848221.0
2021-03-31,857744.0
2021-04-01,872386.0
2021-04-02,885340.0
2021-04-03,891582.0
2021-04-04,894037.0
2021-04-05,913824.0
2021-04-06,924493.0
2021-04-07,912407.0
2021-04-08,924862.0
2021-04-09,933130.0
2021-04-10,939702.0
2021-04-11,940661.0
2021-04-12,937220.0
2021-04-13,955711.0
2021-04-14,961271.0
2021-04-15,958654.0
2021-04-16,967538.0
2021-04-17,958413.0
2021-04-18,964369.0
2021-04-19,955980.0
2021-04-20,955014.0
2021-04-21,943965.0
2021-04-22,930334.0
2021-04-23,908572.0
2021-04-24,892515.0
2021-04-25,879592.0
2021-04-26,859678.0
2021-04-27,831022.0
2021-04-28,811894.0
2021-04-29,795345.0
2021-04-30,770323.0
2021-05-01,763110.0
2021-05-02,749883.0
2021-05-03,735448.0
2021-05-04,715746.0
2021-05-05,696851.0
2021-05-06,676583.0
2021-05-07,662098.0
2021-05-08,642755.0
2021-05-09,631086.0
2021-05-10,620594.0
2021-05-11,603817.0
2021-05-12,583944.0
2021-05-13,564148.0
2021-05-14,548004.0
2021-05-15,530314.0
2021-05-16,517350.0
2021-05-17,497481.0
2021-05-18,483772.0
2021-05-19,467021.0
2021-05-20,451081.0
2021-05-21,431581.0
2021-05-22,417534.0
2021-05-23,408583.0
2021-05-24,397945.0
2021-05-25,386471.0
2021-05-26,374861.0
2021-05-27,363524.0
2021-05-28,343858.0
2021-05-29,326351.0
2021-05-30,315925.0
2021-05-31,296744.0
2021-06-01,288819.0
2021-06-02,276366.0
2021-06-03,264330.0
2021-06-04,253178.0
2021-06-05,247418.0
2021-06-06,239526.0
2021-06-07,231554.0
2021-06-08,220547.0
2021-06-09,214397.0
2021-06-10,202368.0
2021-06-11,204956.0
2021-06-12,200803.0
2021-06-13,198626.0
2021-06-14,204181.0
2021-06-15,193731.0
2021-06-16,188894.0
2021-06-17,182447.0
2021-06-18,185920.0
2021-06-19,179652.0
2021-06-20,178685.0
2021-06-21,175227.0
2021-06-22,173198.0
2021-06-23,167487.0
2021-06-24,167165.0
2021-06-25,167170.0
2021-06-26,167394.0
2021-06-27,167027.0
2021-06-28,168887.0
2021-06-29,165775.0
2021-06-30,169300.0
2021-07-01,172704.0
2021-07-02,181314.0
2021-07-03,177711.0
2021-07-04,177053.0
2021-07-05,175490.0
2021-07-06,187288.0
2021-07-07,194937.0
2021-07-08,201626.0
2021-07-09,224091.0
2021-07-10,225088.0
2021-07-11,232194.0
2021-07-12,248090.0
2021-07-13,267064.0
2021-07-14,282905.0
2021-07-15,299911.0
2021-07-16,348346.0
2021-07-17,357131.0
2021-07-18,373244.0
2021-07-19,413292.0
2021-07-20,430649.0
2021-07-21,458364.0
2021-07-22,493907.0
2021-07-23,567714.0
2021-07-24,587067.0
2021-07-25,603953.0
2021-07-26,652830.0
2021-07-27,691476.0
2021-07-28,733926.0
2021-07-29,774350.0
2021-07-30,887475.0
2021-07-31,918140.0
2021-08-01,943170.0
2021-08-02,1001431.0
2021-08-03,1059585.0
2021-08-04,1114136.0
2021-08-05,1167313.0
2021-08-06,1298491.0
2021-08-07,1333023.0
2021-08-08,1340103.0
2021-08-09,1419957.0
2021-08-10,1473127.0
2021-08-11,1554051.0
2021-08-12,1625541.0
2021-08-13,1661097.0
2021-08-14,1690597.0
2021-08-15,1693082.0
2021-08-16,1778930.0
2021-08-17,1832081.0
2021-08-18,1896935.0
2021-08-19,1942707.0
2021-08-20,1929751.0
2021-08-21,1959413.0
2021-08-22,1969095.0
2021-08-23,2016869.0
2021-08-24,2053771.0
