date,I_est
2021-08-25,2078431.0
2021-08-26,2118376.0
2021-08-27,2130009.0
2021-08-28,2135858.0
2021-08-29,2141189.0
2021-08-30,2175785.0
2021-08-31,2204636.0
2021-09-01,2227764.0
2021-09-02,2251568.0
2021-09-03,2247680.0
2021-09-04,2241461.0
2021-09-05,2260788.0
2021-09-06,2144659.0
2021-09-07,2199520.0
2021-09-08,2197990.0
2021-09-09,2180905.0
2021-09-10,2184250.0
2021-09-11,2194740.0
2021-09-12,2191130.0
2021-09-13,2170895.0
2021-09-14,2136423.0
2021-09-15,2119249.0
2021-09-16,2098722.0
2021-09-17,2074237.0
2021-09-18,2063180.0
2021-09-19,2044468.0
2021-09-20,2123812.0
2021-09-21,2035607.0
2021-09-22,1989614.0
2021-09-23,1951984.0
2021-09-24,1884863.0
2021-09-25,1856203.0
2021-09-26,1862240.0
2021-09-27,1808458.0
2021-09-28,1776058.0
2021-09-29,1724725.0
2021-09-30,1676219.0
2021-10-01,1620421.0
2021-10-02,1593904.0
2021-10-03,1594111.0
2021-10-04,1565294.0
2021-10-05,1538973.0
2021-10-06,1520091.0
2021-10-07,1492123.0
2021-10-08,1448115.0
2021-10-09,1426580.0
2021-10-10,1411942.0
2021-10-11,1350885.0
2021-10-12,1348681.0
2021-10-13,1335118.0
2021-10-14,1311155.0
2021-10-15,1265074.0
2021-10-16,1256668.0
2021-10-17,1243621.0
2021-10-18,1199688.0
2021-10-19,1186760.0
2021-10-20,1166244.0
2021-10-21,1142468.0
2021-10-22,1107806.0
2021-10-23,1101757.0
2021-10-24,1081709.0
2021-10-25,1098338.0
2021-10-26,1054999.0
2021-10-27,1049149.0
2021-10-28,1037523.0
2021-10-29,1023489.0
2021-10-30,1018438.0
2021-10-31,1019278.0
2021-11-01,1032487.0
2021-11-02,1019950.0
2021-11-03,1014432.0
2021-11-04,1018332.0
2021-11-05,1019523.0
2021-11-06,1022486.0
2021-11-07,1040507.0
2021-11-08,1038364.0
2021-11-09,1050696.0
2021-11-10,1043363.0
2021-11-11,1026481.0
2021-11-12,1075885.0
2021-11-13,1085739.0
2021-11-14,1085610.0
2021-11-15,1106827.0
2021-11-16,1124715.0
2021-11-17,1150406.0
2021-11-18,1177757.0
2021-11-19,1206938.0
2021-11-20,1216900.0
2021-11-21,1219437.0
2021-11-22,1253003.0
2021-11-23,1264727.0
2021-11-24,1281164.0
2021-11-25,1260545.0
2021-11-26,1171117.0
2021-11-27,1153391.0
2021-11-28,1164612.0
2021-11-29,1218705.0
2021-11-30,1248330.0
2021-12-01,1272925.0
2021-12-02,1302255.0
2021-12-03,1333982.0
2021-12-04,1354534.0
2021-12-05,1369567.0
2021-12-06,1403590.0
2021-12-07,1424336.0
2021-12-08,1462143.0
2021-12-09,1549020.0
2021-12-10,1651742.0
2021-12-11,1681017.0
2021-12-12,1689291.0
2021-12-13,1687394.0
2021-12-14,1683138.0
2021-12-15,1691752.0
2021-12-16,1696030.0
2021-12-17,1730540.0
2021-12-18,1744413.0
2021-12-19,1778770.0
2021-12-20,1845014.0
2021-12-21,1914820.0
2021-12-22,2013296.0
2021-12-23,2163751.0
2021-12-24,2254604.0
2021-12-25,2285177.0
2021-12-26,2415301.0
2021-12-27,2738119.0
2021-12-28,2997228.0
2021-12-29,3362633.0
2021-12-30,3818391.0
2021-12-31,4137926.0
2022-01-01,4248476.0
2022-01-02,4453800.0
2022-01-03,5255429.0
2022-01-04,5901966.0
2022-01-05,6329894.0
2022-01-06,6900111.0
2022-01-07,7530838.0
2022-01-08,7851199.0
2022-01-09,8161090.0
2022-01-10,9009524.0
2022-01-11,9423280.0
2022-01-12,9766127.0
2022-01-13,10033467.0
2022-01-14,10400575.0
2022-01-15,10624645.0
2022-01-16,10814502.0
2022-01-17,10431958.0
2022-01-18,10735993.0
2022-01-19,10970052.0
2022-01-20,10856325.0
2022-01-21,10783067.0
2022-01-22,10684350.0
2022-01-23,10561857.0
2022-01-24,10116099.0
2022-01-25,9822142.0
2022-01-26,9645373.0
2022-01-27,9283369.0
2022-01-28,9016865.0
2022-01-29,8783236.0
2022-01-30,8498147.0
2022-01-31,8373211.0
2022-02-01,7566802.0
2022-02-02,6984058.0
2022-02-03,6526802.0
2022-02-04,6075804.0
2022-02-05,5854265.0
2022-02-06,5568368.0
2022-02-07,5002211.0
2022-02-08,4723770.0
2022-02-09,4233823.0
2022-02-10,3900903.0
2022-02-11,3496425.0
2022-02-12,3366547.0
2022-02-13,3224732.0
2022-02-14,2856619.0
2022-02-15,2640565.0
2022-02-16,2427275.0
2022-02-17,2254920.0
2022-02-18,2044068.0
2022-02-19,1987806.0
2022-02-20,1926326.0
2022-02-21,1663381.0
2022-02-22,1538746.0
2022-02-23,1435639.0
2022-02-24,1331802.0
2022-02-25,1197275.0
2022-02-26,1192323.0
2022-02-27,1151660.0
2022-02-28,1081225.0
2022-03-01,1017296.0
2022-03-02,956513.0
2022-03-03,903732.0
2022-03-04,810488.0
2022-03-05,793597.0
2022-03-06,782679.0
2022-03-07,764368.0
2022-03-08,704522.0
2022-03-09,657373.0
2022-03-10,636513.0
2022-03-11,611631.0
2022-03-12,574307.0
2022-03-13,567082.0
2022-03-14,504588.0
2022-03-15,481647.0
2022-03-16,479858.0
2022-03-17,483396.0
2022-03-18,464385.0
2022-03-19,460240.0
2022-03-20,459281.0
2022-03-21,438992.0
2022-03-22,430885.0
2022-03-23,433890.0
2022-03-24,430273.0
2022-03-25,425928.0
2022-03-26,425105.0
2022-03-27,425833.0
2022-03-28,429275.0
2022-03-29,428821.0
2022-03-30,415703.0
2022-03-31,408228.0
2022-04-01,407759.0
2022-04-02,408717.0
2022-04-03,402066.0
2022-04-04,399139.0
2022-04-05,402880.0
2022-04-06,402910.0
2022-04-07,410531.0
2022-04-08,439294.0
2022-04-09,442655.0
2022-04-10,440426.0
2022-04-11,440828.0
2022-04-12,452992.0
2022-04-13,470943.0
2022-04-14,474246.0
2022-04-15,477552.0
2022-04-16,478291.0
2022-04-17,481200.0
2022-04-18,502633.0
2022-04-19,516162.0
2022-04-20,544006.0
2022-04-21,554817.0
2022-04-22,570215.0
2022-04-23,577862.0
2022-04-24,582038.0
2022-04-25,611728.0
2022-04-26,621395.0
2022-04-27,655139.0
2022-04-28,684260.0
2022-04-29,711044.0
2022-04-30,723322.0
2022-05-01,732762.0
2022-05-02,767084.0
2022-05-03,778249.0
2022-05-04,822824.0
2022-05-05,850554.0
2022-05-06,891030.0
2022-05-07,899378.0
2022-05-08,892008.0
2022-05-09,953382.0
2022-05-10,979011.0
2022-05-11,1050220.0
2022-05-12,1078586.0
2022-05-13,1104594.0
2022-05-14,1097985.0
2022-05-15,1113751.0
2022-05-16,1196802.0
2022-05-17,1232464.0
2022-05-18,1323948.0
2022-05-19,1371284.0
2022-05-20,1391013.0
2022-05-21,1390116.0
2022-05-22,1396680.0
2022-05-23,1416702.0
2022-05-24,1430043.0
2022-05-25,1479762.0
2022-05-26,1509952.0
2022-05-27,1530523.0
2022-05-28,1526308.0
2022-05-29,1500306.0
2022-05-30,1385894.0
2022-05-31,1467739.0
2022-06-01,1492629.0
2022-06-02,1479400.0
2022-06-03,1487605.0
2022-06-04,1487596.0
2022-06-05,1490801.0
2022-06-06,1501423.0
2022-06-07,1504196.0
2022-06-08,1492055.0
2022-06-09,1488464.0
2022-06-10,1486793.0
2022-06-11,1507915.0
2022-06-12,1518662.0
2022-06-13,1607719.0
2022-06-14,1530725.0
2022-06-15,1486890.0
2022-06-16,1494601.0
2022-06-17,1476427.0
2022-06-18,1466076.0
2022-06-19,1467844.0
2022-06-20,1404065.0
2022-06-21,1428618.0
2022-06-22,1415379.0
2022-06-23,1422147.0
2022-06-24,1433193.0
2022-06-25,1438913.0
2022-06-26,1443501.0
2022-06-27,1451867.0
2022-06-28,1459500.0
2022-06-29,1464505.0
2022-06-30,1502227.0
2022-07-01,1520253.0
2022-07-02,1523038.0
2022-07-03,1513547.0
2022-07-04,1493961.0
2022-07-05,1524191.0
2022-07-06,1539235.0
2022-07-07,1539589.0
2022-07-08,1560089.0
2022-07-09,1548275.0
2022-07-10,1550581.0
2022-07-11,1591521.0
2022-07-12,1641912.0
2022-07-13,1656336.0
2022-07-14,1664035.0
2022-07-15,1660390.0
2022-07-16,1679263.0
2022-07-17,1700440.0
2022-07-18,1788830.0
2022-07-19,1764611.0
2022-07-20,1780610.0
2022-07-21,1817309.0
2022-07-22,1811006.0
2022-07-23,1808306.0
2022-07-24,1807029.0
2022-07-25,1796013.0
2022-07-26,1779907.0
2022-07-27,1815367.0
2022-07-28,1817292.0
2022-07-29,1823334.0
2022-07-30,1800109.0
2022-07-31,1783494.0
2022-08-01,1788458.0
2022-08-02,1762196.0
2022-08-03,1746192.0
2022-08-04,1757755.0
2022-08-05,1732469.0
2022-08-06,1721009.0
2022-08-07,1710255.0
2022-08-08,1675589.0
2022-08-09,1643253.0
2022-08-10,1599955.0
2022-08-11,1585555.0
2022-08-12,1522974.0
2022-08-13,1590563.0
2022-08-14,1587163.0
2022-08-15,1540049.0
2022-08-16,1540891.0
2022-08-17,1477365.0
2022-08-18,1439170.0
2022-08-19,1410601.0
2022-08-20,1406676.0
2022-08-21,1403814.0
2022-08-22,1377570.0
2022-08-23,1377097.0
2022-08-24,1332307.0
2022-08-25,1308991.0
2022-08-26,1333057.0
2022-08-27,1261114.0
2022-08-28,1259816.0
2022-08-29,1243236.0
2022-08-30,1226973.0
2022-08-31,1244320.0
2022-09-01,1226009.0
2022-09-02,1213099.0
2022-09-03,1213371.0
2022-09-04,1210978.0
2022-09-05,1115704.0
2022-09-06,1128865.0
2022-09-07,1101147.0
2022-09-08,1068710.0
2022-09-09,1048750.0
2022-09-10,1047037.0
2022-09-11,1047558.0
2022-09-12,1010829.0
2022-09-13,1014988.0
2022-09-14,963969.0
2022-09-15,916789.0
2022-09-16,908386.0
2022-09-17,905469.0
2022-09-18,903478.0
2022-09-19,925494.0
2022-09-20,882309.0
2022-09-21,856702.0
2022-09-22,830548.0
2022-09-23,813072.0
2022-09-24,812670.0
2022-09-25,810371.0
2022-09-26,786535.0
2022-09-27,767911.0
2022-09-28,751255.0
2022-09-29,752154.0
2022-09-30,729483.0
2022-10-01,728957.0
2022-10-02,729350.0
2022-10-03,715149.0
2022-10-04,701246.0
2022-10-05,674259.0
2022-10-06,654153.0
2022-10-07,629205.0
2022-10-08,627288.0
2022-10-09,626183.0
2022-10-10,603704.0
2022-10-11,603500.0
2022-10-12,581656.0
2022-10-13,560741.0
2022-10-14,554250.0
2022-10-15,552292.0
2022-10-16,553224.0
2022-10-17,550686.0
2022-10-18,538991.0
2022-10-19,528313.0
2022-10-20,524779.0
2022-10-21,512569.0
2022-10-22,510216.0
2022-10-23,513211.0
2022-10-24,529523.0
2022-10-25,512481.0
2022-10-26,519320.0
2022-10-27,515042.0
2022-10-28,518410.0
2022-10-29,521448.0
2022-10-30,518064.0
2022-10-31,524081.0
2022-11-01,529387.0
2022-11-02,542727.0
2022-11-03,556139.0
2022-11-04,548722.0
2022-11-05,548535.0
2022-11-06,548031.0
2022-11-07,549324.0
2022-11-08,536977.0
2022-11-09,562762.0
2022-11-10,569754.0
2022-11-11,552495.0
2022-11-12,548642.0
2022-11-13,547856.0
2022-11-14,553300.0
2022-11-15,564208.0
2022-11-16,574917.0
2022-11-17,558173.0
2022-11-18,575059.0
2022-11-19,574770.0
2022-11-20,570588.0
2022-11-21,574428.0
2022-11-22,599287.0
2022-11-23,615402.0
2022-11-24,565388.0
2022-11-25,574538.0
2022-11-26,572567.0
2022-11-27,575871.0
2022-11-28,587788.0
2022-11-29,595365.0
2022-11-30,623629.0
2022-12-01,660138.0
2022-12-02,668928.0
2022-12-03,671041.0
2022-12-04,672644.0
2022-12-05,685934.0
2022-12-06,724610.0
2022-12-07,756610.0
2022-12-08,839515.0
2022-12-09,853725.0
2022-12-10,857612.0
2022-12-11,857976.0
2022-12-12,854993.0
2022-12-13,880769.0
2022-12-14,915925.0
2022-12-15,937439.0
2022-12-16,927642.0
2022-12-17,927329.0
2022-12-18,927635.0
2022-12-19,930215.0
2022-12-20,917148.0
2022-12-21,953831.0
2022-12-22,950749.0
2022-12-23,953435.0
2022-12-24,952769.0
2022-12-25,949669.0
2022-12-26,902754.0
2022-12-27,920458.0
2022-12-28,885634.0
2022-12-29,877616.0
2022-12-30,861425.0
2022-12-31,862566.0
2023-01-01,861003.0
2023-01-02,808925.0
2023-01-03,815807.0
2023-01-04,831800.0
2023-01-05,866885.0
2023-01-06,892844.0
2023-01-07,892177.0
2023-01-08,894673.0
2023-01-09,925252.0
2023-01-10,897602.0
2023-01-11,923876.0
2023-01-12,884753.0
2023-01-13,879671.0
2023-01-14,877003.0
2023-01-15,876026.0
2023-01-16,875233.0
2023-01-17,867682.0
2023-01-18,798196.0
2023-01-19,758155.0
2023-01-20,730486.0
2023-01-21,729759.0
2023-01-22,727337.0
2023-01-23,715379.0
2023-01-24,687828.0
2023-01-25,650518.0
2023-01-26,649654.0
2023-01-27,633260.0
2023-01-28,632570.0
2023-01-29,632744.0
2023-01-30,654358.0
2023-01-31,628444.0
2023-02-01,616323.0
2023-02-02,606810.0
2023-02-03,608021.0
2023-02-04,607051.0
2023-02-05,606689.0
2023-02-06,599947.0
2023-02-07,589728.0
2023-02-08,570937.0
2023-02-09,588671.0
2023-02-10,584790.0
2023-02-11,584604.0
2023-02-12,584481.0
2023-02-13,578476.0
2023-02-14,571354.0
2023-02-15,543852.0
2023-02-16,522856.0
2023-02-17,532114.0
2023-02-18,530663.0
2023-02-19,529209.0
2023-02-20,506940.0
2023-02-21,521975.0
2023-02-22,548621.0
2023-02-23,523450.0
2023-02-24,523307.0
2023-02-25,521647.0
2023-02-26,519884.0
2023-02-27,513822.0
2023-02-28,509231.0
2023-03-01,510641.0
2023-03-02,505847.0
2023-03-03,516792.0
2023-03-04,516232.0
2023-03-05,514760.0
2023-03-06,521282.0
2023-03-07,496103.0
2023-03-08,450801.0
2023-03-09,441053.0
